DATE,CPIUFDNS_PC1
2003-03-01,1.41965
2003-04-01,1.24858
2003-05-01,1.70648
2003-06-01,2.16155
2003-07-01,2.10227
2003-08-01,2.50000
2003-09-01,2.43764
2003-10-01,2.94618
2003-11-01,3.16742
2003-12-01,3.55330
2004-01-01,3.54930
2004-02-01,3.25294
2004-03-01,3.24748
2004-04-01,3.41928
2004-05-01,4.08277
2004-06-01,3.73051
2004-07-01,3.95103
2004-08-01,3.54767
2004-09-01,3.32042
2004-10-01,3.41222
2004-11-01,3.17982
2004-12-01,2.66885
2005-01-01,2.88357
2005-02-01,2.55296
2005-03-01,2.54881
2005-04-01,3.08943
2005-05-01,2.41805
2005-06-01,2.20075
2005-07-01,2.14133
2005-08-01,2.19486
2005-09-01,2.51741
2005-10-01,2.23523
2005-11-01,2.23167
2005-12-01,2.33422
2006-01-01,2.64410
2006-02-01,2.75424
2006-03-01,2.59122
2006-04-01,1.84017
2006-05-01,1.88877
2006-06-01,2.15336
2006-07-01,2.20126
2006-08-01,2.40964
2006-09-01,2.50784
2006-10-01,2.60281
2006-11-01,2.28690
2006-12-01,2.12545
2007-01-01,2.42761
2007-02-01,3.09278
2007-03-01,3.30052
2007-04-01,3.67579
2007-05-01,3.90886
2007-06-01,4.08278
2007-07-01,4.16462
2007-08-01,4.28900
2007-09-01,4.45515
2007-10-01,4.41197
2007-11-01,4.81555
2007-12-01,4.92589
2008-01-01,4.93230
2008-02-01,4.58300
2008-03-01,4.48197
2008-04-01,5.12001
2008-05-01,5.08596
2008-06-01,5.33588
2008-07-01,5.99544
2008-08-01,6.14905
2008-09-01,6.22374
2008-10-01,6.28875
2008-11-01,6.04624
2008-12-01,5.85427
