product_name,year,month,us_city_average_retail_price,category
Bananas,1991,6,0.532,Fruits
Bananas,1991,7,0.516,Fruits
Bananas,1991,8,0.416,Fruits
Bananas,1991,9,0.432,Fruits
Bananas,1991,10,0.395,Fruits
Bananas,1991,11,0.431,Fruits
Bananas,1991,12,0.419,Fruits
Bananas,1992,1,0.428,Fruits
Bananas,1992,2,0.493,Fruits
Bananas,1992,3,0.517,Fruits
Bananas,1992,4,0.484,Fruits
Bananas,1992,5,0.445,Fruits
Bananas,1992,6,0.463,Fruits
Bananas,1992,7,0.431,Fruits
Bananas,1992,8,0.509,Fruits
Bananas,1992,9,0.459,Fruits
Bananas,1992,10,0.442,Fruits
Bananas,1992,11,0.422,Fruits
Bananas,1992,12,0.404,Fruits
Bananas,1993,1,0.426,Fruits
Bananas,1993,2,0.475,Fruits
Bananas,1993,3,0.475,Fruits
Bananas,1993,4,0.483,Fruits
Bananas,1993,5,0.472,Fruits
Bananas,1993,6,0.446,Fruits
Bananas,1993,7,0.448,Fruits
Bananas,1993,8,0.422,Fruits
Bananas,1993,9,0.395,Fruits
Bananas,1993,10,0.405,Fruits
Bananas,1993,11,0.404,Fruits
Bananas,1993,12,0.414,Fruits
Bananas,1994,1,0.44,Fruits
Bananas,1994,2,0.514,Fruits
Bananas,1994,3,0.5,Fruits
Bananas,1994,4,0.469,Fruits
Bananas,1994,5,0.469,Fruits
Bananas,1994,6,0.447,Fruits
Bananas,1994,7,0.452,Fruits
Bananas,1994,8,0.48,Fruits
Bananas,1994,9,0.453,Fruits
Bananas,1994,10,0.43,Fruits
Bananas,1994,11,0.434,Fruits
Bananas,1994,12,0.458,Fruits
Bananas,1995,1,0.503,Fruits
Bananas,1995,2,0.496,Fruits
Bananas,1995,3,0.508,Fruits
Bananas,1995,4,0.485,Fruits
Bananas,1995,5,0.483,Fruits
Bananas,1995,6,0.49,Fruits
Bananas,1995,7,0.522,Fruits
Bananas,1995,8,0.512,Fruits
Bananas,1995,9,0.49,Fruits
Bananas,1995,10,0.471,Fruits
Bananas,1995,11,0.462,Fruits
Bananas,1995,12,0.454,Fruits
Bananas,1996,1,0.463,Fruits
Bananas,1996,2,0.501,Fruits
Bananas,1996,3,0.539,Fruits
Bananas,1996,4,0.505,Fruits
Bananas,1996,5,0.512,Fruits
Bananas,1996,6,0.498,Fruits
Bananas,1996,7,0.498,Fruits
Bananas,1996,8,0.478,Fruits
Bananas,1996,9,0.458,Fruits
Bananas,1996,10,0.465,Fruits
Bananas,1996,11,0.477,Fruits
Bananas,1996,12,0.481,Fruits
Bananas,1997,1,0.497,Fruits
Bananas,1997,2,0.518,Fruits
Bananas,1997,3,0.532,Fruits
Bananas,1997,4,0.512,Fruits
Bananas,1997,5,0.484,Fruits
Bananas,1997,6,0.488,Fruits
Bananas,1997,7,0.487,Fruits
Bananas,1997,8,0.475,Fruits
Bananas,1997,9,0.458,Fruits
